release time,life loan,ITEM_AMOUNT
2015-08-24,5,30000
,5,20000
,5,20000
2015-08-24,30,20000
,5,10000
2015-08-24,5,2500
,5,22700
2015-08-24,30,6200
2015-08-24,5,10000
2015-08-24,30,50000
2015-08-24,30,20000
2015-08-24,30,80000
2015-08-24,5,30000
2015-08-24,5,10000
,5,20000
,5,30000
,5,5000
2015-08-24,30,5000
,5,10000
2015-08-24,30,150000
2015-08-24,30,17957.18
,6,10000
2015-08-24,30,11000
,5,10899.62
2015-08-24,30,1000
2015-08-24,30,6300
2015-08-24,5,550
,5,20000
2015-08-24,5,5000
2015-08-24,30,100000
,30,6000
2015-08-24,30,50000
,30,20000
,8,30000
2015-08-24,5,50000
2015-08-24,30,5000
,5,20000
2015-08-24,30,10000
2015-08-24,30,10850
,5,7100
2015-08-24,30,10860
,5,18888.88
2015-08-24,30,6000
,5,20000
,5,10000
,5,5000
2015-08-24,13,13800
2015-08-24,8,10000
,5,9000
2015-08-24,30,100000
,5,50000
,5,18800
,5,20000
,5,10000
2015-08-24,8,8332
,5,10000
2015-08-24,5,10000
2015-08-24,5,20000
2015-08-24,30,20000
2015-08-24,30,86000
2015-08-24,30,60000
2015-08-24,30,10000
2015-08-24,30,48000
2015-08-24,5,10000
,30,6000
,5,20000
,5,20000
,5,10000
,30,10000
2015-08-24,300,15000
2015-08-24,30,24300
2015-08-24,30,5000
2015-08-24,30,10000
2015-08-24,7,6000
2015-08-24,5,15000
2015-08-24,13,60000
2015-08-24,30,10000
2015-08-24,30,10000
2015-08-24,30,50000
,5,5000
2015-08-24,6,10000
2015-08-24,5,3900
2015-08-24,30,500
2015-08-24,5,10000
2015-08-24,30,10000
2015-08-24,30,5000
,5,6000
2015-08-24,5,50000
,5,23000
2015-08-24,30,90000
2015-08-24,11,30000
2015-08-24,5,50000
,5,10000
2015-08-24,30,50000
2015-08-24,30,50500
2015-08-24,30,20000
2015-08-24,30,202500
2015-08-24,30,20000
,5,30000
2015-08-24,10,30000
2015-08-24,5,7700
2015-08-24,12,20000
2015-08-24,30,20000
2015-08-24,30,4500
2015-08-24,19,22000
2015-08-24,30,2000
2015-08-24,6,20000
2015-08-24,30,1000
2015-08-24,30,40000
2015-08-24,30,51000
2015-08-24,30,2000
2015-08-24,12,120000
2015-08-24,5,50000
,5,2700
2015-08-24,10,15000
2015-08-24,7,10000
,5,4000
2015-08-24,6,10000
,5,5800
2015-08-24,5,50000
2015-08-24,30,100000
2015-08-24,5,30000
2015-08-24,30,9000
2015-08-24,5,10000
2015-08-24,5,10000
,5,20000
,5,43000
2015-08-24,5,60000
2015-08-24,5,50000
2015-08-24,9,13200
2015-08-24,5,800
2015-08-24,14,5800
2015-08-24,10,30000
,5,8000
2015-08-24,5,50000
2015-08-24,5,33000
2015-08-24,30,3000
2015-08-24,5,10000
2015-08-24,7,150000
,5,40000
,5,5000
2015-08-24,30,30000
,5,1400
,14,15000
2015-08-24,5,20000
,5,6000
2015-08-24,6,10000
2015-08-24,5,19100
2015-08-24,30,8000
2015-08-24,5,6800
2015-08-24,5,10000
,5,20000
2015-08-24,8,30000
2015-08-24,10,50000
2015-08-24,30,4600
,5,50000
2015-08-24,30,290000
2015-08-24,30,10000
2015-08-24,5,10000
2015-08-24,8,30000
2015-08-24,30,75000
,5,5000
2015-08-24,30,8000
2015-08-24,5,5000
2015-08-24,5,5000
2015-08-24,8,8500
2015-08-24,30,38000
2015-08-24,5,25000
2015-08-24,14,30000
2015-08-24,5,10000
2015-08-24,360,14000
,5,1327
,150,55000
2015-08-24,5,20000
,90,50000
2015-08-24,5,10000
,30,12000
2015-08-24,5,5000
2015-08-24,6,1700
2015-08-24,30,11500
2015-08-24,8,1349.04
2015-08-24,30,20000
,5,9500
2015-08-24,7,31400
,5,25000
2015-08-24,90,4700
2015-08-24,30,33600
2015-08-24,30,7700
2015-08-24,30,46800
2015-08-24,5,98600
2015-08-24,5,12000
2015-08-24,30,41000
,30,18500
2015-08-24,30,10000
2015-08-24,8,6529
2015-08-24,20,10000
,5,6800
2015-08-24,30,1000
2015-08-24,5,10000
2015-08-24,30,500
2015-08-24,24,10000
2015-08-24,5,2000
2015-08-24,30,100000
2015-08-24,30,196788.3
2015-08-24,30,42900
2015-08-24,7,15000
2015-08-24,30,50000
2015-08-24,5,10004
2015-08-24,13,7000
,10,70000
,10,68000
2015-08-24,30,10000
2015-08-24,6,50000
2015-08-24,30,74700
2015-08-24,30,50000
2015-08-24,7,200000
2015-08-24,30,10000
2015-08-24,90,16000
2015-08-24,5,5000
2015-08-24,30,500
2015-08-24,90,2800
2015-08-24,30,10000
2015-08-24,30,600
2015-08-24,14,7600
2015-08-24,30,3005
,25,25500
2015-08-24,180,20000
2015-08-24,5,10000
2015-08-24,30,182000
2015-08-24,5,5000
2015-08-24,5,220000
2015-08-24,9,10000
2015-08-24,30,10000
2015-08-24,5,20000
2015-08-24,360,8000
2015-08-24,30,62954.59
2015-08-24,5,30000
2015-08-24,30,100000
2015-08-24,30,15000
2015-08-24,9,20000
2015-08-24,30,16000
2015-08-24,30,384000
2015-08-24,30,50000
2015-08-24,6,5449.05
2015-08-24,5,12300
2015-08-24,15,10000
2015-08-24,30,5000
2015-08-24,30,50000
,5,23000
2015-08-24,7,50000
2015-08-24,5,10000
2015-08-24,30,50000
2015-08-24,30,50000
2015-08-24,30,53350
2015-08-24,17,5000
2015-08-24,30,40000
2015-08-24,5,10000
2015-08-24,210,50000
2015-08-24,21,50000
2015-08-24,30,99200
2015-08-24,30,100000
2015-08-24,30,30000
2015-08-24,30,50000
2015-08-24,30,20000
2015-08-24,5,150000
2015-08-24,5,5000
2015-08-24,30,7500
2015-08-24,30,92300
2015-08-24,30,30000
2015-08-24,30,95000
2015-08-24,30,30000
2015-08-24,5,200000
2015-08-24,30,50000
2015-08-24,180,100000
2015-08-24,30,18000
2015-08-24,30,3000
2015-08-24,5,10100
2015-08-23,11,30000
2015-08-23,30,20000
2015-08-23,30,40000
2015-08-23,30,50000
2015-08-23,5,50000
2015-08-23,5,20000
2015-08-23,11,30000
2015-08-23,30,30000
