DEADLINE,LIFE_LOAN,ITEM_AMOUNT,MONEY_RATE
2015-07-14,10,100000,15
2015-07-09,10,50000,15
2015-07-07,10,50000,15
2015-07-06,60,120000,14
2015-07-06,10,100000,15
2015-07-06,10,100000,15
2015-07-05,60,80000,14
2015-07-04,10,50000,15
2015-06-28,10,100000,15
2015-06-24,10,100000,15
2015-06-23,10,100000,15
2015-06-19,10,100000,15
2015-06-21,60,100000,14
2015-06-18,10,100000,15
2015-06-20,60,100000,14
2015-06-16,10,100000,15
2015-06-15,10,200000,15
2015-06-14,60,150000,14
2015-06-11,10,200000,15
2015-06-11,60,100000,14
2015-06-09,10,200000,15
2015-06-08,10,200000,15
2015-06-08,60,150000,14
2015-06-06,10,200000,15
2015-06-04,10,100000,15
2015-06-06,60,150000,14
2015-06-03,10,200000,15
2015-06-02,10,200000,15
2015-06-01,10,100000,15
2015-06-02,60,100000,14
2015-06-01,10,200000,15
2015-05-31,60,150000,14
2015-05-28,10,100000,15
2015-05-31,60,150000,14
2015-05-26,10,50000,15
2015-05-25,10,100000,15
2015-05-25,10,50000,15
2015-05-25,10,50000,15
2015-05-25,60,150000,14
2015-05-22,10,100000,15
2015-05-24,60,150000,14
2015-05-21,10,100000,15
2015-05-21,10,200000,15
2015-05-22,60,45000,20
2015-05-20,10,200000,15
2015-05-22,60,150000,20
2015-05-18,10,200000,15
2015-05-18,60,150000,14
2015-05-14,10,200000,15
2015-05-13,10,200000,15
2015-05-12,10,200000,15
2015-05-16,60,150000,14
2015-05-11,10,200000,15
2015-05-13,60,40000,14
2015-05-10,10,200000,15
2015-05-09,10,200000,15
2015-05-08,10,200000,15
2015-05-07,10,200000,15
2015-05-10,60,120000,14
2015-05-06,10,200000,15
2015-05-09,60,150000,14
2015-05-05,10,200000,15
2015-05-04,10,200000,15
2015-05-03,60,50000,14
2015-05-04,10,100000,15
2015-05-03,10,100000,15
2015-05-02,10,100000,15
2015-05-01,10,300000,15
2015-05-02,60,100000,14
2015-04-30,10,300000,15
2015-04-29,10,200000,15
2015-05-01,60,100000,14
2015-04-28,10,200000,15
2015-04-27,10,200000,15
2015-04-26,10,200000,15
2015-04-25,10,200000,15
2015-04-25,10,300000,15
2015-04-28,60,100000,14
2015-04-24,10,200000,15
2015-04-24,10,300000,15
2015-04-23,10,200000,15
2015-04-25,90,60000,15
2015-04-22,10,200000,15
2015-04-21,10,200000,15
2015-04-24,60,100000,14
2015-04-22,9,50000,15
2015-04-19,60,120000,14
2015-04-16,60,60000,14
2015-04-13,60,120000,14
2015-04-10,90,100000,15
2015-03-26,90,50000,15
2015-03-22,90,100000,12
2015-03-14,90,300000,15
2015-03-14,90,200000,15
2015-03-13,90,100000,15
2015-03-11,90,100000,15
2015-03-08,90,100000,15
2015-02-27,90,200000,20
2015-01-27,90,60000,30
2015-01-22,90,96800,15
2015-01-21,90,150000,15
2015-01-18,90,100000,15
2015-01-11,90,200000,15
2015-01-06,30,100000,30
2015-01-04,15,60000,30
2014-12-31,60,300000,14
2014-12-28,60,100000,14
2014-12-20,90,150000,14
2014-12-15,60,200000,14
2014-12-14,30,150000,14
2014-12-13,30,100000,14
2014-12-09,180,100000,15
2014-12-04,180,100000,15
2014-11-27,180,300000,15
2014-11-12,5,50000,15
2014-10-29,7,50000,12
