trading date,life loan,ITEM_AMOUNT
2015-08-22,180,26979.84
2015-08-22,180,26979.84
2015-08-23,90,47719.61
2015-08-23,90,36926.19
2015-08-24,30,52577.38
2015-08-23,14,52577.38
2015-08-24,360,24352.54
2015-08-24,30,50421.91
2015-08-24,30,24617.39
2015-08-23,14,77812.6
2015-08-23,90,18176.96
2015-08-23,30,54482.55
2015-08-23,30,54482.55
2015-08-23,30,54482.55
2015-08-23,30,54482.55
2015-08-23,14,68943.3
2015-08-23,30,54482.55
2015-08-23,30,54482.55
2015-08-22,90,68103.26
2015-08-23,90,33724.95
2015-08-22,30,61282.9
2015-08-22,30,54482.55
2015-08-22,90,45962.1
2015-08-22,14,61282.9
2015-08-22,30,54482.55
2015-08-22,30,54482.55
2015-08-22,30,40469.86
2015-08-22,14,69018.48
2015-08-22,30,53622.5
2015-08-22,30,77384.44
2015-08-22,30,40469.86
2015-08-22,90,40469.86
2015-08-22,30,78942.14
2015-08-22,14,61282.9
2015-08-21,180,22406
2015-08-22,14,61282.9
2015-08-21,14,68038.83
2015-08-22,30,54413.67
2015-08-22,30,61302.22
2015-08-22,30,58614.74
2015-08-22,30,62668.32
2015-08-21,90,51064.86
2015-08-21,90,53882.52
2015-08-21,30,55705.17
2015-08-21,30,62981.15
2015-08-21,30,79790.97
2015-08-21,30,66492.43
2015-08-21,30,69631.46
2015-08-21,30,62981.15
2015-08-21,14,56396.98
2015-08-21,90,53980.06
2015-08-21,30,64762.94
2015-08-21,30,66492.43
2015-08-21,30,69631.46
2015-08-21,90,50114.58
2015-08-21,30,53980.06
2015-08-20,180,28040.01
2015-08-20,14,50179.12
2015-08-21,90,48639.05
2015-08-20,180,22286.46
2015-08-20,90,33682.46
2015-08-21,30,63099.64
2015-08-21,30,77739.83
2015-08-21,30,50130.71
2015-08-21,30,62683.41
2015-08-20,30,50114.58
2015-08-20,30,36479.29
2015-08-20,30,56425.47
2015-08-19,14,47550.59
2015-08-20,90,33608.95
2015-08-20,30,69631.46
2015-08-20,30,68907.52
2015-08-20,30,69631.46
2015-08-20,30,50357.05
2015-08-20,90,10540.77
2015-06-20,30,69631.46
2015-08-19,180,12560.23
2015-08-19,90,13124.02
2015-08-20,30,38253.45
2015-08-20,30,40418.87
2015-08-18,90,29773.38
2015-08-20,30,41562.02
2015-08-20,30,33682.46
2015-08-19,14,45545.98
2015-08-19,30,45291.02
2015-08-19,30,45904.19
2015-08-19,30,40757.71
2015-08-19,30,44811.89
2015-08-19,30,51745.71
2015-08-19,30,78055.65
2015-08-17,90,50535.61
2015-08-19,30,42564.92
2015-08-18,14,70531.84
2015-08-17,180,41971.4
2015-08-18,30,45904.19
2015-08-18,30,40418.87
2015-08-18,30,33657.39
2015-08-18,30,29773.38
2015-08-18,30,53891.89
2015-08-18,30,32935.41
2015-08-18,30,80040.2
2015-08-17,30,53891.89
2015-08-18,30,56596.95
2015-08-17,90,24963.71
2015-08-17,30,65616.47
