release time,life loan,ITEM_AMOUNT,MONEY_RATE
2015-08-20,30,200000,7
2015-08-05,180,500000,9
2015-08-06,90,500000,8
2015-08-11,540,500000,13
2015-08-11,720,500000,13.25
2015-08-14,180,500000,9
2015-08-14,90,500000,8
2015-08-14,90,1000000,8
2015-08-19,180,500000,9
2015-08-19,90,500000,8
2015-07-31,90,500000,8
2015-08-17,90,500000,8
2015-07-21,90,500000,8
2015-06-17,180,1000000,9
2015-07-02,30,500000,7
2015-08-14,30,1000000,7
2015-07-10,30,500000,7
2015-08-14,30,500000,7
2015-08-11,360,500000,12
2015-08-11,90,1000000,8
2015-08-14,30,500000,7
2015-06-17,360,1000000,12.6
2015-08-14,360,500000,12.6
2015-08-14,30,500000,7
2015-08-17,360,500000,12
2015-07-17,30,500000,7
2015-08-18,30,500000,7
2015-08-18,90,500000,8
2015-08-19,30,500000,7
2015-06-17,90,1000000,8
2015-07-22,90,500000,8
2015-07-21,30,500000,7
2015-08-07,30,500000,7
2015-07-23,360,1000000,12
2015-07-23,90,1000000,8
2015-07-24,30,500000,7
2015-07-27,30,500000,7
2015-07-28,30,200000,7
2015-07-29,30,500000,7
2015-07-29,30,500000,7
2015-07-22,90,500000,8
2015-07-31,30,500000,7
2015-08-03,360,500000,12
2015-08-03,30,500000,7
2015-08-03,90,500000,8
2015-08-04,30,500000,7
2015-07-21,90,500000,8
2015-08-05,30,500000,7
2015-08-06,30,500000,7
2015-08-06,30,500000,7
2015-06-17,30,1000000,7
2015-08-19,360,35616,12
2015-08-19,360,35400,12
2015-08-19,360,34788,12
2015-08-19,360,35616,12
2015-08-18,360,35400,12
2015-08-18,360,23744,12
2015-08-18,30,33000,7.2
2015-08-18,360,47488,12
2015-08-18,360,35616,12
2015-08-18,360,59360,12
2015-08-18,360,35400,12
2015-08-18,360,47488,12
2015-08-18,360,35616,12
2015-08-17,360,35616,12
2015-08-15,360,47488,12
2015-08-14,360,35616,12
2015-08-13,360,35400,12
2015-08-08,360,35400,12
2015-08-10,360,35400,12
2015-08-08,360,35616,12
2015-08-08,30,60000,7.2
2015-08-07,360,47488,12
2015-07-25,360,35400,12
2015-08-06,360,35616,12
2015-08-04,360,47488,12
2015-08-03,360,35616,12
2015-08-02,360,35400,12
2015-08-01,360,35616,12
2015-07-31,360,59360,12
2015-07-30,360,47488,12
2015-07-29,360,59360,12
2015-07-28,360,35616,12
2015-07-27,360,47488,12
2015-07-26,360,47488,12
2015-07-25,360,34788,12
2015-07-25,360,34788,12
2015-07-25,360,35616,12
2015-07-24,360,59360,12
2015-07-23,360,35400,12
2015-07-22,360,71232,12
2015-07-21,360,35616,12
2015-07-20,360,23840,12
2015-07-13,360,35616,12
2015-07-20,360,35760,12
2015-07-19,360,71232,12
2015-07-17,360,35616,12
2015-07-16,360,34788,12
2015-07-15,360,34788,12
