DEADLINE,LIFE_LOAN,ITEM_AMOUNT,money rate
2015-03-16,180,500000,
2015-03-16,90,400000,
2015-03-16,30,150000,
2015-03-09,90,300000,
2015-03-15,180,2000000,
2015-03-09,90,300000,
2015-02-28,30,200000,
2015-03-08,30,200000,
2015-03-02,30,200000,
2015-03-09,30,200000,
2015-02-28,30,200000,
2015-02-28,180,150000,
2015-02-15,180,500000,
2015-02-16,30,100000,
2015-02-14,30,100000,
2015-02-03,90,1000000,
2015-02-16,30,100000,
2015-02-04,30,100000,
2015-02-05,30,100000,
2015-01-28,30,300000,
2015-02-04,90,200000,
2015-01-27,90,200000,
2015-01-28,180,500000,
2015-01-20,90,1000000,
2015-01-20,90,200000,
2015-01-21,30,500000,
2015-01-13,180,500000,
2015-01-28,30,300000,
2015-01-13,180,500000,
2015-01-13,180,500000,
2015-01-06,180,500000,
2015-01-06,90,200000,
2015-01-06,180,500000,
2015-01-21,180,500000,
2014-12-25,90,200000,
2014-12-25,180,500000,
2015-01-13,30,200000,
2014-12-26,180,500000,
2014-12-18,180,500000,
2014-12-18,180,500000,
2014-12-19,30,1000000,
2014-12-10,30,1000000,
2015-01-06,90,1000000,
2014-12-10,180,1000000,
2014-12-12,180,1000000,
2014-12-25,30,300000,
2014-12-05,90,1000000,
2014-12-05,30,1000000,
2014-12-05,30,1000000,
2014-11-30,30,1000000,
2014-12-18,30,300000,
2014-11-30,19,1000000,
2014-12-01,90,1000000,
2014-11-25,180,1000000,
2014-11-24,180,1000000,
2014-12-11,180,1000000,
2014-11-21,30,1000000,
2014-12-05,180,1000000,
2014-11-25,30,1000000,
2014-11-18,30,1000000,
2014-11-21,180,1000000,
2014-12-01,180,1000000,
2014-11-21,180,1000000,
2014-11-11,30,1000000,
2014-11-17,7,1000000,
2014-11-06,180,1000000,
2014-11-25,8,1000000,
2014-11-19,30,1000000,
2014-11-11,180,1000000,
2014-11-06,30,1000000,
2014-11-21,30,1000000,
2014-11-12,30,1000000,
2014-11-01,30,1000000,
2014-11-18,30,1000000,
2014-11-07,90,1000000,
2014-11-12,180,1000000,
2014-10-31,12,1000000,
2014-11-06,30,1000000,
2014-11-02,4,1000000,
2014-11-01,180,1000000,
2015-03-15,30,150000,
2015-03-08,30,200000,
2015-02-27,30,100000,
2015-03-14,90,300000,
2015-02-14,90,200000,
2015-03-07,90,200000,
2015-02-03,30,300000,
2015-02-27,90,150000,
2015-01-27,30,500000,
2015-02-12,180,500000,
2015-01-20,30,500000,
2015-02-02,90,200000,
2015-01-27,90,200000,
2015-01-13,90,1000000,
2015-01-05,30,1000000,
2015-01-19,180,500000,
2014-12-24,30,1000000,
2015-01-12,30,300000,
2014-12-17,30,300000,
2015-01-03,90,200000,
2014-11-09,30,1000000,
2014-10-28,180,1000000,
2015-03-10,90,300000,
2015-02-06,180,500000,
2014-11-09,30,1000000,
2015-02-23,30,100000,
2014-12-23,90,1000000,
2015-01-10,90,200000,
2014-12-04,180,500000,
2015-02-10,90,200000,
2015-01-16,90,1000000,
2014-11-29,180,1000000,
2015-01-09,180,500000,
2014-12-21,90,200000,
2014-11-16,180,1000000,
2015-03-05,30,200000,
2014-12-31,180,500000,
2015-01-16,30,200000,
2015-01-30,90,1000000,
2014-12-20,90,1000000,
2015-01-15,90,200000,
2014-11-17,90,1000000,
2014-11-26,90,1000000,
2015-02-23,90,150000,
2014-12-17,30,300000,
2015-02-08,30,100000,
2014-11-23,30,1000000,
2014-11-11,7,1000000,
2015-02-26,30,100000,
2015-01-26,90,1000000,
2015-02-06,90,200000,
2014-12-10,90,1000000,
2014-11-24,180,1000000,
2015-03-05,30,200000,
2015-02-17,30,100000,
2014-12-16,90,1000000,
2014-12-30,90,1000000,
2014-11-27,30,1000000,
2015-03-10,30,150000,
2015-02-24,90,150000,
2014-10-28,180,1000000,
2015-01-12,180,500000,
2014-12-08,180,1000000,
2015-01-30,30,300000,
2014-12-03,180,1000000,
2014-11-04,30,1000000,
2014-11-20,30,1000000,
2014-11-25,90,1000000,
2014-10-30,90,1000000,
2014-12-22,90,200000,
2015-03-06,30,200000,
2014-11-19,30,1000000,
2014-11-10,180,1000000,
2015-01-16,30,500000,
2014-12-08,30,1000000,
2014-11-20,30,1000000,
2014-10-28,30,1000000,
2014-11-24,7,1000000,
2014-12-06,180,1000000,
2014-11-26,180,1000000,
2014-12-14,90,500000,
2014-12-03,90,1000000,
2015-02-08,30,100000,
2015-02-12,30,100000,
2014-11-07,30,1000000,
2014-11-13,25,1000000,
2014-11-10,25,1000000,
2014-12-10,180,1000000,
2015-02-02,30,300000,
2014-11-19,180,1000000,
2014-11-20,90,1000000,
2014-11-05,180,1000000,
2014-10-30,180,1000000,
2015-03-12,90,5000000,
2015-02-24,30,100000,
2014-11-22,180,1000000,
2014-10-29,180,1000000,
2014-11-05,30,1000000,
2014-11-28,180,1000000,
2015-03-11,30,150000,
2014-11-21,90,1000000,
2014-11-22,30,1000000,
2015-03-09,90,300000,
2015-01-24,180,500000,
2014-12-23,90,200000,
2014-11-05,180,1000000,
2014-11-19,90,1000000,
2014-12-08,30,1000000,
2015-01-14,180,500000,
2014-12-22,30,1000000,
2014-10-30,30,1000000,
2014-11-03,180,1000000,
2014-11-26,30,1000000,
2015-01-12,180,500000,
2015-02-06,30,100000,
2015-01-12,180,500000,
2014-12-06,90,1000000,
2014-10-30,30,1000000,
2015-03-10,90,300000,
2015-01-31,30,200000,
2015-02-11,30,100000,
2015-02-22,90,150000,
2015-01-15,30,500000,
2014-11-23,180,1000000,
2014-11-10,90,1000000,
2015-01-25,30,500000,
2014-10-30,180,1000000,
2014-12-31,30,1000000,
2014-11-17,180,1000000,
2014-11-24,180,1000000,
2014-11-11,180,1000000,
2014-11-14,30,1000000,
2014-11-03,22,1000000,
2015-01-16,180,500000,
2015-01-09,180,500000,
2014-12-04,30,1000000,
2014-11-19,30,1000000,
2015-01-26,180,500000,
2015-01-30,90,200000,
2014-11-22,180,1000000,
2015-02-01,30,100000,
2014-11-12,180,1000000,
2015-01-14,90,200000,
2014-12-26,30,1000000,
2014-11-07,180,1000000,
2015-03-05,90,200000,
2014-11-02,30,1000000,
2014-11-17,180,1000000,
2015-01-18,180,500000,
2014-12-10,30,1000000,
2015-03-07,30,200000,
2014-11-08,17,1000000,
2014-11-29,30,1000000,
2014-12-12,90,1000000,
2015-01-29,30,300000,
2014-11-14,30,1000000,
2014-10-28,30,1000000,
2014-12-16,180,1000000,
2015-02-01,30,100000,
2015-01-25,180,500000,
2014-11-20,30,1000000,
2015-01-25,180,500000,
2014-12-09,9,1000000,
2014-12-03,30,1000000,
2015-01-25,180,500000,
2014-11-05,180,1000000,
2015-03-12,30,150000,
2015-03-06,180,500000,
2014-12-24,30,300000,
2014-12-07,30,1000000,
2014-11-22,30,1000000,
2015-03-11,180,500000,
2014-11-20,180,1000000,
2014-12-06,19,1000000,
2015-03-13,30,150000,
2015-01-12,30,1000000,
2015-01-02,180,500000,
2014-12-02,30,1000000,
2014-11-19,180,1000000,
2015-01-23,180,500000,
2015-02-17,90,200000,
2014-12-03,180,1000000,
2014-12-16,30,1000000,
2014-12-21,180,500000,
2014-12-30,90,200000,
2014-11-28,90,1000000,
2014-12-26,30,300000,
2014-11-27,30,1000000,
2014-11-14,180,1000000,
2014-12-12,30,1000000,
2015-02-10,90,200000,
2014-11-04,180,1000000,
2014-11-28,30,1000000,
2015-01-22,30,500000,
2014-12-13,180,1000000,
2014-12-02,22,1000000,
2015-02-01,180,500000,
2014-12-02,180,1000000,
2014-12-27,90,1000000,
2014-12-29,30,1000000,
2015-03-02,30,200000,
2015-03-04,90,300000,
2014-12-21,30,300000,
2014-11-04,10,1000000,
2014-12-23,180,500000,
2014-12-16,90,200000,
2014-11-20,180,1000000,
2015-01-10,180,500000,
2014-12-01,22,1000000,
2015-03-03,30,200000,
2014-11-09,180,1000000,
2014-11-03,180,1000000,
2014-11-16,30,1000000,
2014-10-29,17,1000000,
2015-01-07,30,300000,
2015-02-22,30,100000,
2014-12-15,30,1000000,
2014-12-15,30,1000000,
2014-12-03,30,1000000,
2014-11-24,180,500000,
