release time,life loan
2015-06-21,15
2015-06-21,15
2015-06-20,15
2015-06-20,15
2015-06-19,30
2015-06-18,30
2015-06-17,15
2015-06-17,30
2015-06-16,30
2015-06-16,15
2015-06-15,30
2015-06-14,15
2015-06-13,30
2015-06-12,30
2015-06-12,15
2015-06-11,15
2015-06-11,30
2015-06-10,15
2015-06-10,30
2015-06-09,15
2015-06-09,30
2015-06-08,30
2015-06-07,15
2015-06-06,30
2015-06-06,15
2015-06-06,15
2015-06-05,15
2015-06-05,30
2015-06-05,15
2015-06-04,30
2015-06-03,30
2015-06-02,30
2015-06-02,15
2015-06-01,15
2015-06-01,30
2015-05-30,30
2015-05-30,15
2015-05-29,30
2015-05-28,30
2015-05-28,15
2015-05-27,30
2015-05-27,15
2015-05-26,30
2015-05-26,15
2015-05-25,30
2015-05-23,30
2015-05-23,15
2015-05-22,15
2015-05-22,30
2015-05-22,15
2015-05-21,30
2015-05-21,15
2015-05-20,30
2015-05-19,30
2015-05-18,15
2015-05-18,30
2015-05-17,15
2015-05-16,15
2015-05-16,30
2015-05-15,30
2015-05-15,15
2015-05-15,15
2015-05-14,30
2015-05-13,30
2015-05-13,15
2015-05-12,30
2015-05-12,15
2015-05-11,30
2015-05-11,15
2015-05-09,30
2015-05-08,30
2015-05-08,15
2015-05-07,30
2015-05-07,15
2015-05-06,15
2015-05-06,30
2015-05-05,30
2015-05-04,30
2015-05-02,15
2015-05-01,15
2015-04-30,15
2015-04-30,15
2015-04-30,30
2015-04-29,30
2015-04-28,15
2015-04-28,30
2015-04-27,15
2015-04-27,30
2015-04-26,15
2015-04-26,15
2015-04-25,30
2015-04-24,30
2015-04-23,15
2015-04-23,30
2015-04-22,15
2015-04-22,30
2015-04-21,30
2015-04-20,30
2015-04-19,15
2015-04-18,30
2015-02-14,30
2015-03-07,30
2015-04-16,15
2014-12-19,15
2014-12-13,30
2015-02-02,30
2015-01-27,30
2014-11-06,15
2015-03-17,30
2014-11-25,15
2015-01-20,30
2015-02-13,30
2015-02-04,30
2015-03-02,30
2014-12-17,15
2014-11-26,15
2014-12-23,15
2015-01-26,15
2014-11-07,30
2015-02-14,15
2015-02-12,30
2015-02-21,7
2015-01-25,15
2014-11-08,15
2015-02-28,30
2015-04-02,30
2014-12-15,30
2014-11-05,15
2015-01-19,15
2014-10-28,15
2015-04-15,15
2015-03-04,30
2015-02-11,30
2015-01-07,15
2014-11-11,15
2015-03-10,30
2014-12-24,30
2014-12-25,30
2014-10-27,15
2015-01-23,15
2015-03-31,30
2014-12-20,15
2014-10-24,1
2015-02-25,7
2014-12-30,30
2015-03-03,30
2014-11-24,30
2014-12-26,15
2015-03-20,30
2015-04-01,30
2014-12-01,15
2014-12-06,15
2014-12-13,15
2014-11-29,30
