release time,life loan,ITEM_AMOUNT,MONEY RATE
,30,100000,15
,30,100000,15
,30,100000,15
,30,100000,15
,30,100000,15
,30,100000,18
,90,100000,15
,30,100000,15
,30,100000,15
,30,100000,15
,30,100000,15
,30,100000,15
,30,100000,15
,30,100000,15
,30,100000,15
,30,100000,18
,90,100000,15
,30,100000,15
,30,100000,15
,30,100000,15
,30,100000,15
,30,100000,15
,30,100000,18
,90,100000,15
,30,100000,15
,30,100000,18
,90,100000,15
,30,100000,18
,90,100000,15
,30,100000,15
,90,100000,18
,30,100000,18
,90,70000,18
,30,60000,18
,30,100000,19.2
,180,60000,18
,90,70000,18
,30,40000,18
,30,100000,19.2
,180,60000,18
,90,70000,18
,30,60000,18
,30,100000,19.2
,180,60000,18
,90,70000,18
,30,100000,19.2
,180,60000,18
,90,60000,18
,30,70000,18
,30,100000,19.2
,180,60000,18
,90,70000,18
,30,66000,18
,30,94000,19.2
,180,70000,18
,30,100000,18
,90,60000,18
,30,74000,19.2
,180,100000,18
,30,50000,18
,30,100000,18
,30,100000,18
,30,400000,19.2
,180,60000,18
,90,60000,18
,30,80000,18
,30,78000,18
,30,78000,18
,30,100000,18
,30,50000,19.2
,180,70000,18
,90,60000,18
,30,50000,18
,30,70000,18
,30,100000,18
,30,50000,19.2
,180,60000,18
,30,200000,18
,30,50000,18
,90,70000,18
,30,70000,18
,30,100000,19.2
,180,60000,18
,90,70000,18
,30,100000,19.2
,180,80000,18
,30,150000,18
,90,70000,18
,30,70000,18
,30,100000,19.2
,180,70000,18
,90,70000,18
,30,80000,18
,30,95000,19.2
,180,60000,18
,90,70000,18
,30,80000,18
,30,85000,18
,30,300000,18
,30,100000,19.2
,180,70000,18
,90,70000,18
,30,60000,18
,30,100000,19.2
,180,70000,18
,30,50000,18
,90,60000,18
,30,50000,18
,30,100000,19.2
,180,65000,18
,90,50000,19.2
,180,105000,18
,90,60000,18
,30,70000,18
,30,100000,19.2
,180,60000,18
,90,60000,18
,30,100000,19.2
,180,80000,18
,90,70000,18
,30,60000,18
,30,90000,19.2
,180,60000,18
,90,80000,18
,30,60000,18
,30,90000,19.2
,180,60000,18
,90,80000,18
,30,60000,18
,30,100000,19.2
,180,70000,18
,90,70000,18
,30,70000,18
,30,100000,19.2
,180,60000,18
,90,80000,18
,30,60000,19.2
,180,100000,18
,30,100000,19.2
,180,60000,18
,90,70000,18
,30,70000,18
,30,90000,19.2
,180,60000,18
,90,80000,18
,30,90000,19.2
,180,80000,18
,90,70000,18
,30,70000,18
,30,90000,19.2
,180,60000,18
,90,70000,18
,30,60000,18
,30,100000,19.2
,180,60000,18
,90,60000,18
,30,200000,18
,30,70000,18
,30,200000,18
,30,100000,18
,30,100000,18
,30,110000,19.2
,180,60000,18
,90,70000,19.2
,180,80000,18
,30,70000,19.2
,180,60000,18
,30,100000,19.2
,180,60000,19.2
,180,100000,18
,90,70000,18
,30,60000,18
,30,110000,18
,30,100000,19.2
,180,60000,18
,90,60000,18
,30,70000,19.2
,180,110000,18
,30,100000,19.2
,180,60000,18
,90,70000,18
,30,70000,18
,30,100000,19.2
,180,120000,18
,30,500000,19.2
,180,80000,18
,90,70000,18
,30,50000,18
,30,100000,19.2
,180,100000,18
,30,300000,18
,90,70000,18
,30,60000,18
,30,90000,19.2
,180,80000,18
,90,60000,18
,30,60000,18
,30,100000,19.2
,180,70000,19.2
,180,160000,19.2
,180,70000,18
,90,80000,18
,30,60000,19.2
,180,50000,18
,30,100000,19.2
,180,70000,18
,90,50000,18
,30,60000,18
,30,500000,18
,30,100000,19.2
,180,90000,19.2
,180,50000,18
,90,70000,18
,30,60000,19.2
,180,50000,18
,30,50000,18
,30,100000,19.2
,180,70000,18
,90,80000,18
,30,100000,19.2
,180,60000,18
,90,60000,18
,30,70000,18
,30,100000,19.2
,180,100000,18
,30,200000,19.2
,180,60000,18
,90,60000,18
,30,80000,19.2
,180,90000,18
,30,100000,19.2
,180,60000,18
,90,60000,18
,30,70000,18
,30,100000,19.2
,180,60000,18
,90,60000,18
,30,70000,18
,30,50000,18
,30,100000,19.2
,180,60000,19.2
,180,66000,18
,90,70000,19.2
,180,50000,18
,30,60000,18
,30,100000,19.2
,180,50000,19.2
,180,64000,18
,90,50000,18
,30,70000,18
,30,100000,18
,90,60000,19.2
,180,73000,19.2
,180,70000,19.2
,180,87000,18
,90,100000,18
,30,100000,19.2
,180,80000,18
,90,50000,18
,30,80000,18
,30,100000,19.2
,180,60000,19.2
,180,85000,19.2
