DEADLINE,LIFE_LOAN,ITEM_AMOUNT,MONEY_RATE
2015-08-21,90,500000,16
2015-08-21,720,53200,16
2015-08-21,720,48400,16
2015-08-21,720,36900,16
2015-08-21,720,55600,16
2015-08-21,1080,51500,16
2015-08-21,360,35300,16
2015-08-21,90,200000,16
2015-08-21,720,53200,16
2015-08-21,90,300000,16
2015-08-21,720,48400,16
2015-08-21,1080,51500,16
2015-08-21,540,65300,16
2015-08-21,720,54000,16
2015-08-21,90,700000,16
2015-08-21,1080,64400,16
2015-08-21,720,48400,16
2015-08-21,720,48400,16
2015-08-21,90,270000,16
2015-08-21,90,100000,16
2015-08-21,720,73800,16
2015-08-21,1050,51500,16
2014-11-13,720,39900,16
2014-11-13,720,27000,16
2014-11-13,720,49200,16
2014-11-13,1080,39400,16
2014-11-14,1080,52600,16
2014-11-14,720,55600,16
2014-11-14,720,27000,16
2014-11-14,720,53200,16
2014-11-15,720,39900,16
2014-11-15,720,27000,16
2014-11-16,720,39900,16
2014-11-16,720,26600,16
2014-11-17,720,55600,16
2014-11-17,720,27000,16
2014-11-17,720,53200,16
2014-11-17,720,39900,16
2014-11-18,720,55600,16
2014-11-18,720,53200,16
2014-11-19,720,39900,16
2014-11-19,1080,65800,16
2014-11-19,1080,52600,16
2014-11-19,1080,52600,16
2014-11-20,720,53200,16
2014-11-20,720,39900,16
2014-11-20,720,27000,16
2014-11-21,720,53200,16
2014-11-21,720,53200,16
2014-11-22,1080,78900,16
2014-11-22,720,39900,16
2014-11-23,720,66500,16
2014-11-23,720,36900,16
2014-11-24,720,53200,16
2014-11-25,720,53200,16
2014-11-25,720,49200,16
2014-11-26,720,41700,16
2014-11-26,1080,39400,16
2014-11-26,720,36900,16
2014-11-27,720,69500,16
2014-11-27,1080,65800,16
2014-11-27,1080,52600,16
2014-11-28,720,66500,16
2014-11-28,720,53200,16
2014-11-28,720,40500,16
2014-11-29,660,64600,16
2014-11-29,660,37600,16
2014-11-29,660,49400,16
2014-11-30,720,69500,16
2014-11-30,720,41700,16
2014-12-01,630,37200,16
2014-12-01,630,35600,16
2014-12-01,630,35600,16
2014-12-01,570,55000,16
2014-12-01,630,35600,16
2014-12-01,600,23100,16
2014-12-02,1080,39400,16
2014-12-02,720,69500,16
2014-12-02,720,24600,16
2014-12-02,720,53200,16
2014-12-02,720,39900,16
2014-12-02,720,53200,16
2014-12-02,720,41700,16
2014-12-03,720,55600,16
2014-12-03,1080,52600,16
2014-12-03,720,40500,16
2014-12-03,720,27000,16
2014-12-03,720,26600,16
2014-12-04,720,55600,16
2014-12-04,720,55600,16
2014-12-04,1080,52600,16
2014-12-05,360,72700,16
2014-12-05,720,55600,16
2014-12-05,1080,52600,16
2014-12-05,720,49200,16
2014-12-06,720,53200,16
2014-12-06,720,53200,16
2014-12-06,1080,39400,16
2014-12-06,720,26600,16
2014-12-07,720,83400,16
2014-12-07,720,26600,16
2014-12-07,720,36900,16
2014-12-07,720,26600,16
2014-12-08,1080,52600,16
2014-12-08,720,53200,16
2014-12-08,720,39900,16
2014-12-08,720,26600,16
2014-12-09,720,53200,16
2014-12-09,1080,52600,16
2014-12-09,720,41700,16
2014-12-09,720,26600,16
2014-12-10,720,69500,16
2014-12-10,720,39900,16
2014-12-10,720,41700,16
2014-12-11,720,39900,16
2014-12-11,1080,39400,16
2014-12-11,720,26600,16
2014-12-12,720,53200,16
2014-12-12,720,26600,16
2014-12-12,720,26600,16
2014-12-13,720,55600,16
2014-12-13,720,53200,16
2014-12-13,720,26600,16
2014-12-14,1080,52600,16
2014-12-14,720,53200,16
2014-12-14,720,41700,16
2014-12-15,720,69500,16
2014-12-15,720,53200,16
2014-12-15,720,39900,16
2014-12-15,720,53200,16
2014-12-16,720,27000,16
2014-12-16,720,24600,16
2014-12-17,720,69500,16
2014-12-17,720,53200,16
2014-12-17,360,23500,16
2014-12-18,720,39900,16
2014-12-18,720,26600,16
2014-12-18,720,39900,16
2014-12-19,1080,78900,16
2014-12-19,720,39900,16
2014-12-20,720,53200,16
2014-12-20,720,36900,16
2014-12-20,720,26600,16
2014-12-21,1080,52600,16
2014-12-21,1080,39400,16
2014-12-21,720,39900,16
