DEADLINE,LIFE_LOAN,ITEM_AMOUNT
2015-04-03,30,50000
2015-04-02,30,40000
2015-04-01,30,40000
2015-03-31,30,40000
2015-03-30,30,60000
2015-03-28,30,60000
2015-03-27,30,60000
2015-03-26,30,50000
2015-03-25,30,60000
2015-03-24,30,60000
2015-03-23,30,60000
2015-03-21,30,40000
2015-03-20,30,60000
2015-03-19,30,60000
2015-04-03,30,50000
2015-04-03,30,38888
2015-04-02,30,40000
2015-04-02,30,38888
2015-04-01,30,38888
2015-04-01,30,40000
2015-03-31,30,40000
2015-03-31,30,38888
2015-03-30,30,50000
2015-03-30,30,38888
2015-03-28,30,50000
2015-03-28,30,38888
2015-03-27,30,50000
2015-03-27,30,38888
2015-03-26,30,60000
2015-03-26,30,38888
2015-03-25,30,60000
2015-03-25,30,38888
2015-03-24,30,60000
2015-03-24,30,38888
2015-03-23,30,60000
2015-03-23,30,38888
2015-03-21,30,40000
2015-03-21,30,38888
2015-03-20,30,60000
2015-03-20,30,38888
2015-03-19,30,60000
2015-03-19,30,38888
2015-03-18,10,60000
2015-03-18,30,58888
2015-03-17,10,60000
2015-03-17,30,58888
2015-03-16,10,60000
2015-03-16,30,58888
2015-01-22,30,38888
2015-01-19,30,30000
2015-01-17,30,51888
2015-01-17,30,20000
2015-01-16,30,20000
2015-01-16,30,51888
2015-01-15,30,30000
2015-01-15,30,51888
2015-01-14,30,51888
2015-01-14,30,30000
2015-01-13,30,51888
2015-01-13,30,40000
2015-01-12,30,40000
2015-01-12,30,58888
2015-01-10,30,20000
2015-01-09,30,20000
2015-01-08,30,20000
2015-01-07,30,20000
2015-01-06,30,20000
2015-01-05,30,20000
2015-01-04,30,20000
2014-12-29,30,30000
2014-12-27,30,30000
2014-12-26,30,30000
2014-12-25,30,58888
2014-12-25,30,40000
2014-12-24,30,50000
2014-12-24,30,30000
2014-12-23,30,40100
2014-12-23,30,50000
2014-12-22,30,50000
2014-12-22,30,39900
2014-12-20,30,50000
2014-12-20,30,30000
2014-12-19,30,50000
2014-12-19,30,50000
2014-12-18,30,20000
2014-12-18,30,50000
2014-12-18,30,20000
2014-12-17,30,50000
2014-12-17,30,50000
2014-12-16,30,50000
2014-12-16,30,30000
2014-12-15,30,50000
2014-12-15,30,50000
2014-12-15,30,50000
2014-12-13,30,20000
2014-12-13,30,50000
2014-12-13,30,30089
2014-12-12,30,51888
2014-12-12,30,29911
2014-12-12,30,50000
2014-12-12,30,40000
2014-12-11,30,30000
2014-12-11,30,60000
2014-12-11,30,50000
2014-12-10,30,25000
2014-12-10,30,80000
2014-12-10,30,88888
