RELEASETIME,LIFE_LOAN,ITEM_AMOUNT,MONEY_RATE
2015-08-17,91,500000,18
2015-08-18,91,25000,18
2015-08-17,91,80000,18
2015-08-17,91,120000,18
2015-08-16,91,90000,18
2015-08-16,91,180000,18
2015-08-14,91,250000,18
2015-08-14,91,30000,18
2015-08-14,89,500000,18
2015-08-13,91,80000,18
2015-08-12,91,600000,18
2015-08-12,60,50000,17
2015-08-11,75,500000,18
2015-08-11,75,600000,18
2015-08-11,91,60000,18
2015-08-10,91,80000,18
2015-08-10,91,80000,18
2015-08-10,91,20000,18
2015-08-08,87,700000,18
2015-08-07,91,40000,18
2015-08-07,91,180000,18
2015-08-07,91,174000,18
2015-08-07,87,800000,18
2015-08-07,91,50000,18
2015-08-07,91,200000,18
2015-08-06,91,55000,18
2015-08-06,91,50000,18
2015-08-06,91,60000,18
2015-08-05,90,200000,18
2015-08-05,91,300000,18
2015-08-04,90,800000,18
2015-08-04,91,70000,18
2015-08-03,71,1000000,18
2015-08-03,91,42000,18
2015-08-01,73,1000000,18
2015-07-31,91,90000,18
2015-07-30,91,30000,18
2015-07-30,91,500000,18
2015-07-29,91,135000,18
2015-07-29,91,40000,18
2015-07-29,91,80000,18
2015-07-29,91,50000,18
2015-07-28,91,130000,18
2015-07-28,91,50000,18
2015-07-28,91,160000,18
2015-07-28,61,250000,17
2015-07-27,60,350000,17
2015-07-27,91,100000,18
2015-07-25,80,1000000,18
2015-07-24,91,130000,18
2015-07-24,61,15000,17
2015-07-24,91,35000,18
2015-07-24,91,30000,18
2015-07-24,91,40000,18
2015-07-23,30,30000,16
2015-07-23,91,50000,18
2015-07-23,91,100000,18
2015-07-22,91,50000,18
2015-07-22,91,30000,18
2015-07-22,91,95000,18
2015-07-22,61,50000,17
2015-07-22,91,60000,18
2015-07-21,91,40000,18
2015-07-21,71,300000,18
2015-07-20,91,250000,18
2015-07-20,91,200000,18
2015-07-17,75,700000,18
2015-07-17,91,100000,18
2015-07-17,91,40000,18
2015-07-16,91,125000,18
2015-07-16,91,80000,18
2015-07-16,91,200000,18
2015-07-16,91,30000,18
2015-07-15,89,1000000,18
2015-07-15,91,60000,18
2015-07-15,91,40000,18
2015-07-15,89,1000000,18
2015-07-14,91,50000,18
2015-07-14,91,45000,18
2015-07-14,86,500000,18
2015-07-14,91,150000,18
2015-07-14,91,25000,18
2015-07-13,87,600000,18
2015-07-13,87,600000,18
2015-07-12,91,400000,18
2015-07-12,91,60000,18
2015-07-11,89,600000,18
2015-07-11,91,20000,18
2015-07-11,91,50000,18
2015-07-10,91,45000,18
2015-07-10,108,550000,18
2015-07-10,91,60000,18
2015-07-09,91,100000,18
2015-07-09,91,38000,18
2015-07-09,91,30000,18
2015-07-09,91,120000,18
2015-07-08,91,180000,18
2015-07-08,91,110000,18
2015-07-08,61,40000,17
2015-07-08,91,36000,18
2015-07-08,91,50000,18
2015-07-07,91,44000,18
2015-07-07,111,600000,18
2015-07-06,91,40000,18
2015-07-06,112,600000,18
2015-07-06,91,180000,18
2015-07-06,91,30000,18
2015-07-05,91,80000,18
2015-07-05,91,120000,18
2015-07-05,91,145000,18
2015-07-04,82,700000,18
2015-07-03,91,300000,18
2015-07-03,91,50000,18
2015-07-02,91,35000,18
2015-07-02,91,250000,18
2015-07-02,91,300000,18
2015-07-01,119,500000,18
2015-07-01,91,50000,18
2015-06-30,120,600000,18
2015-06-29,87,700000,18
2015-06-28,88,600000,18
2015-06-26,91,100000,18
2015-06-26,60,45000,17
2015-06-25,91,250000,18
2015-06-24,60,25000,17
2015-06-24,90,80000,18
2015-06-23,91,130000,18
2015-06-22,91,300000,18
2015-06-22,91,55000,18
2015-06-21,91,180000,18
2015-06-19,91,150000,18
2015-06-18,91,25000,18
2015-06-18,91,50000,18
2015-06-17,91,42000,18
2015-06-15,91,750000,18
2015-06-14,91,50000,18
2015-06-12,91,450000,18
2015-06-10,78,1000000,18
2015-06-09,80,800000,18
2015-06-09,91,50000,18
2015-06-07,91,500000,18
2015-06-07,91,500000,18
2015-06-05,91,260000,18
2015-06-02,91,120000,18
