release time,life loan,ITEM_AMOUNT
2015-06-08,270,100000
2015-04-25,360,\N
2015-04-25,360,400000
2015-04-24,360,240000
2015-04-24,360,240000
2015-04-24,360,160000
2015-04-23,360,400000
2015-04-23,360,\N
2015-04-23,360,240000
2015-04-23,360,\N
2015-04-23,360,\N
2015-04-23,360,\N
2015-04-22,360,400000
2015-04-22,360,\N
2015-04-21,360,400000
2015-04-21,360,300000
2015-04-21,360,160000
2015-04-20,360,120000
2015-04-20,360,200000
2015-04-20,360,\N
2015-04-20,360,\N
2015-04-18,360,\N
2015-04-18,360,400000
2015-04-18,360,160000
2015-04-16,360,\N
2015-04-16,360,\N
2015-06-24,180,\N
2015-06-23,30,\N
2015-06-22,90,\N
2015-06-21,270,\N
2015-06-21,30,\N
2015-06-21,180,\N
2015-06-20,30,\N
2015-06-20,270,\N
2015-06-20,90,\N
2015-06-19,270,\N
2015-06-19,30,\N
2015-06-19,30,\N
2015-06-18,30,\N
2015-06-18,30,\N
2015-06-18,270,\N
2015-06-18,30,\N
2015-06-17,270,\N
2015-06-17,30,\N
2015-06-17,30,\N
2015-06-17,30,\N
2015-06-17,30,\N
2015-06-17,90,\N
2015-06-16,30,\N
2015-06-16,180,200000
2015-06-16,30,\N
2015-06-16,180,\N
2015-06-16,30,\N
2015-06-15,180,\N
2015-06-15,90,\N
2015-06-15,30,\N
2015-06-15,30,\N
2015-06-15,90,\N
2015-06-14,30,\N
2015-06-14,30,\N
2015-06-13,30,\N
2015-06-13,30,\N
2015-06-13,30,\N
2015-06-13,90,120000
2015-06-13,180,200000
2015-06-13,30,\N
2015-06-13,90,\N
2015-06-13,180,\N
2015-06-12,90,\N
2015-06-12,30,\N
2015-06-12,30,\N
2015-06-12,90,110000
2015-06-12,30,\N
2015-06-12,30,\N
2015-06-12,180,\N
2015-06-12,270,\N
2015-06-12,180,200000
2015-06-12,30,\N
2015-06-12,90,\N
2015-06-11,90,\N
2015-06-11,30,\N
2015-06-11,90,180000
2015-06-11,30,\N
2015-06-11,30,\N
2015-06-11,270,\N
2015-06-11,90,\N
2015-06-10,30,\N
2015-06-10,90,\N
2015-06-10,30,\N
2015-06-10,270,\N
2015-06-10,90,\N
2015-06-10,30,\N
2015-06-09,30,120000
2015-06-09,30,\N
2015-06-09,180,\N
2015-06-09,90,\N
2015-06-09,90,\N
2015-06-09,90,\N
2015-06-09,30,\N
2015-06-08,15,\N
2015-06-08,270,\N
2015-06-08,180,\N
2015-06-08,30,\N
2015-06-08,90,\N
2015-06-08,90,\N
2015-06-08,90,\N
2015-06-07,15,\N
2015-06-07,90,\N
2015-06-07,30,\N
2015-06-06,90,\N
2015-06-06,15,\N
2015-06-06,180,\N
2015-06-06,90,\N
2015-06-06,90,\N
2015-06-06,90,\N
2015-06-06,30,\N
2015-06-06,30,\N
2015-06-05,30,\N
2015-06-05,15,\N
2015-06-05,270,\N
2015-06-05,90,\N
2015-06-05,90,\N
2015-06-05,30,\N
2015-06-05,30,\N
2015-06-04,30,\N
2015-06-04,30,\N
2015-06-04,15,\N
2015-06-04,270,\N
2015-06-04,180,\N
2015-06-04,30,\N
2015-06-04,90,\N
2015-06-04,30,\N
2015-06-04,30,\N
2015-06-04,30,\N
2015-06-03,90,\N
2015-06-03,15,\N
2015-06-03,270,\N
2015-06-03,180,\N
2015-06-03,90,\N
2015-06-02,30,\N
2015-06-02,90,110000
2015-06-02,15,\N
2015-06-02,270,\N
2015-06-02,180,\N
2015-06-02,30,\N
2015-06-02,90,\N
2015-06-02,90,\N
2015-06-01,180,180000
2015-06-01,90,\N
2015-06-01,270,\N
2015-06-01,15,\N
2015-06-01,270,\N
2015-06-01,180,\N
2015-06-01,90,\N
2015-06-01,30,\N
2015-06-01,30,\N
2015-05-31,90,\N
2015-05-31,30,\N
2015-05-30,30,\N
2015-05-30,90,\N
2015-05-30,30,\N
2015-05-30,30,\N
2015-05-30,30,\N
2015-05-30,30,\N
2015-05-30,270,\N
2015-05-30,180,\N
2015-05-30,90,\N
2015-05-30,30,\N
2015-05-30,90,\N
2015-05-30,30,\N
2015-05-29,30,\N
2015-05-29,30,\N
2015-05-29,30,\N
2015-05-29,270,\N
2015-05-29,180,\N
