RELEASETIME,LIFE_LOAN,ITEM_AMOUNT
2015-08-18,30,570000
2015-08-18,30,1420000
2015-08-18,30,1050000
2015-08-18,30,2250000
2015-08-17,30,130000
2015-08-17,30,270000
2015-08-17,30,260000
2015-08-17,30,650000
2015-08-17,30,80000
2015-08-17,30,7650000
2015-08-17,30,540000
2015-08-17,30,160000
2015-08-17,30,1050000
2015-08-17,30,90000
2015-08-17,30,110000
2015-08-17,30,1050000
2015-08-15,30,40000
2015-08-15,30,200000
2015-08-14,30,820000
2015-08-14,30,120000
2015-08-14,30,120000
2015-08-14,30,150000
2015-08-14,30,520000
2015-08-14,30,820000
2015-08-14,30,850000
2015-08-14,30,1030000
2015-08-13,30,180000
2015-08-13,30,2000000
2015-08-13,30,200000
2015-08-13,30,450000
2015-08-13,30,2000000
2015-08-13,30,2000000
2015-08-13,30,150000
2015-08-13,30,110000
2015-08-13,30,2000000
2015-08-13,30,140000
2015-08-13,30,480000
2015-08-13,30,980000
2015-08-13,30,920000
2015-08-13,30,40000
2015-08-13,30,170000
2015-08-13,30,660000
2015-08-13,30,430000
2015-08-13,30,900000
2015-08-13,30,140000
2015-08-13,30,250000
2015-08-13,30,130000
2015-08-13,30,1760000
2015-08-13,30,310000
2015-08-13,30,390000
2015-08-13,30,1850000
2015-08-12,30,350000
2015-08-12,30,950000
2015-08-12,30,450000
2015-08-12,30,60000
2015-08-12,30,250000
2015-08-12,30,90000
2015-08-12,30,300000
2015-08-12,30,950000
2015-08-12,30,500000
2015-08-12,30,80000
2015-08-12,30,50000
2015-08-12,30,60000
2015-08-12,30,670000
2015-08-12,30,530000
2015-08-12,30,100000
2015-08-12,30,350000
2015-08-12,30,4670000
2015-08-12,30,1150000
2015-08-11,30,180000
2015-08-11,30,6060000
2015-08-11,30,340000
2015-08-11,30,1250000
2015-08-11,30,310000
2015-08-11,30,640000
2015-08-11,30,550000
2015-08-11,30,90000
2015-08-11,30,530000
2015-08-11,30,170000
2015-08-11,30,550000
2015-08-11,30,160000
2015-08-11,30,1200000
2015-08-11,30,260000
2015-08-11,30,1160000
2015-08-11,30,380000
2015-08-11,30,170000
2015-08-11,30,540000
2015-08-11,30,970000
2015-08-11,30,850000
2015-08-11,30,60000
2015-08-11,30,120000
2015-08-11,30,940000
2015-08-11,30,2850000
2015-08-10,30,270000
2015-08-10,30,300000
2015-08-10,30,550000
2015-08-10,30,2000000
2015-08-10,30,190000
2015-08-10,30,150000
2015-08-10,30,80000
2015-08-10,30,100000
2015-08-10,30,700000
2015-08-10,30,180000
2015-08-10,30,750000
2015-08-09,30,3550000
2015-08-09,30,820000
2015-08-09,30,250000
2015-08-08,30,1010000
2015-08-08,30,80000
2015-08-08,30,650000
2015-08-08,30,250000
