deadline,life loan,ITEM_AMOUNT,MONEY_RATE
2015-07-19,31,300000,14.4
2015-07-18,31,300000,14.4
2015-07-11,31,300000,14.4
2015-07-04,31,300000,14.4
2015-06-27,30,300000,14.4
2015-06-17,30,500000,14.4
2015-05-30,88,500000,15.6
2015-06-24,180,300000,16.8
2015-06-02,174,500000,16.8
2015-06-09,92,300000,15.6
2015-05-19,177,500000,17.8
2015-05-09,366,500000,19
2015-05-04,184,500000,17.8
2015-05-03,92,500000,16.6
2015-04-18,358,500000,18
2015-04-08,183,500000,16.8
2015-04-04,183,500000,16.8
2015-03-14,366,500000,18
2015-03-07,366,500000,19
2015-02-28,365,500000,19
2015-02-26,365,500000,19
2015-02-14,358,500000,18
2015-01-23,365,500000,18
2015-01-05,177,500000,16.8
2015-05-19,31,500000,14.4
2015-05-08,31,500000,12.2
2015-04-16,30,500000,12.2
2015-04-02,30,500000,12.2
2015-03-14,92,500000,15.6
2015-03-10,92,500000,16.6
2015-03-05,92,500000,16.6
2015-02-17,89,500000,16.6
2015-01-28,90,500000,16
2015-01-07,90,500000,15.6
2014-12-13,178,500000,16.8
2014-12-06,182,500000,16.8
2014-12-03,90,500000,15.6
2014-09-26,91,500000,15.6
2014-10-09,182,500000,16.8
2014-09-27,181,1000000,16.8
2014-09-10,80,500000,15.6
2014-08-26,181,1000000,16.8
2014-08-08,91,500000,16.8
2014-08-06,80,500000,12.6
2014-06-18,120,500000,14
2014-05-30,74,500000,15
2015-07-07,174,300000,16.8
2015-07-17,31,300000,14.4
2015-07-10,31,300000,14.4
2015-07-03,31,300000,14.4
2015-06-24,30,300000,14.4
2015-06-13,30,500000,14.4
2015-06-03,30,500000,14.4
2015-06-17,183,300000,16.8
2015-06-13,359,500000,18
2015-05-12,342,400000,18
2015-05-21,92,500000,16.6
2015-05-12,92,500000,16.6
2015-05-06,366,500000,19
2015-05-03,366,500000,19
2015-04-25,173,500000,16.8
2015-04-09,366,500000,18
2015-03-31,181,500000,16.8
2015-03-28,366,500000,18
2015-03-07,366,500000,19
2015-03-13,184,500000,17.8
2015-02-14,163,500000,16.8
2015-02-04,365,500000,18
